country_name,country_code,pop_2003,pop_2016,pop_2018
Aruba,ABW,97017,104872,105845
Afghanistan,AFG,23680871,35383128,37172386
Angola,AGO,18121479,28842484,30809762
Albania,ALB,3039616,2876101,2866376
Andorra,AND,73182,77297,77006
Arab World,ARB,301113849,404024433,419790588
United Arab Emirates,ARE,3711932,9360980,9630959
Argentina,ARG,38087868,43590368,44494502
Armenia,ARM,3017932,2936146,2951776
American Samoa,ASM,59504,55741,55465
Antigua and Barbuda,ATG,79300,94527,96286
Australia,AUS,19895400,24190907,24992369
Austria,AUT,8121423,8736668,8847037
Azerbaijan,AZE,8234100,9757812,9942334
Burundi,BDI,6909154,10487998,11175378
Belgium,BEL,10376133,11331422,11422068
Benin,BEN,7520555,10872067,11485048
Burkina Faso,BFA,12654621,18646378,19751535
Bangladesh,BGD,134791603,157970840,161356039
Bulgaria,BGR,7775327,7127822,7024216
Bahrain,BHR,778708,1425791,1569439
"Bahamas, The",BHS,313129,377931,385640
Bosnia and Herzegovina,BIH,3762173,3386267,3323929
Belarus,BLR,9796749,9501534,9485386
Belize,BLZ,269425,368400,383071
Bermuda,BMU,63325,64555,63968
Bolivia,BOL,8905823,11031813,11353142
Brazil,BRA,181809246,206163058,209469333
Barbados,BRB,274329,285796,286641
Brunei Darussalam,BRN,353293,419800,428962
Bhutan,BTN,627839,736709,754394
Botswana,BWA,1734398,2159944,2254126
Central African Republic,CAF,3881181,4537687,4666377
Canada,CAN,31644028,36109487,37058856
Central Europe and the Baltics,CEB,106624167,102994343,102511922
Switzerland,CHE,7339001,8373338,8516543
Channel Islands,CHI,150068,166923,170499
Chile,CHL,15849652,18209068,18729160
China,CHN,1288400000,1378665000,1392730000
Cote d'Ivoire,CIV,17599610,23822714,25069229
Cameroon,CMR,16800865,23926539,25216237
"Congo, Dem. Rep.",COD,51425580,78789127,84068091
"Congo, Rep.",COG,3406922,4980999,5244363
Colombia,COL,41483869,48171392,49648685
Comoros,COM,583211,795592,832322
Cabo Verde,CPV,449930,531146,543767
Costa Rica,CRI,4164053,4899345,4999441
Caribbean small states,CSS,6650971,7269386,7358965
Cuba,CUB,11229183,11335109,11338138
Curacao,CUW,131897,159664,159849
Cayman Islands,CYM,46632,62569,64174
Cyprus,CYP,993563,1170187,1189265
Czech Republic,CZE,10193998,10566332,10625695
Germany,DEU,82534176,82348669,82927922
Djibouti,DJI,759641,929112,958920
Dominica,DMA,70100,71307,71625
Denmark,DNK,5390574,5728010,5797446
Dominican Republic,DOM,8850317,10397743,10627165
Algeria,DZA,32264157,40551404,42228429
East Asia & Pacific (excluding high income),EAP,1865142700,2053116851,2081651801
Early-demographic dividend,EAR,2603385880,3165142287,3249140605
East Asia & Pacific,EAS,2099602439,2298514046,2328220870
Europe & Central Asia (excluding high income),ECA,391882450,413361214,417797257
Europe & Central Asia,ECS,866925884,911812364,918793590
Ecuador,ECU,13369678,16491115,17084357
"Egypt, Arab Rep.",EGY,72826097,94447072,98423595
Euro area,EMU,325885964,340616924,341783171
Eritrea,ERI,2600973,,
Spain,ESP,42187645,46483569,46723749
Estonia,EST,1370720,1315790,1320884
Ethiopia,ETH,72170584,103603501,109224559
European Union,EUU,492063516,511218529,513213363
Fragile and conflict affected situations,FCS,362707108,493290951,515215936
Finland,FIN,5213014,5495303,5518050
Fiji,FJI,816076,872399,883483
France,FRA,62244886,66859768,66987244
Faroe Islands,FRO,47432,48173,48497
"Micronesia, Fed. Sts.",FSM,106901,110215,112640
Gabon,GAB,1319953,2007873,2119275
United Kingdom,GBR,59647577,65595565,66488991
Georgia,GEO,3951736,3727505,3731000
Ghana,GHA,20750299,28481946,29767108
Gibraltar,GIB,32555,33737,33718
Guinea,GIN,8753093,11738441,12414318
"Gambia, The",GMB,1449925,2149139,2280102
Guinea-Bissau,GNB,1283305,1782437,1874309
Equatorial Guinea,GNQ,686664,1215179,1308974
Greece,GRC,10928070,10775971,10727668
Grenada,GRD,104005,110261,111454
Greenland,GRL,56765,56186,56025
Guatemala,GTM,12500478,16583060,17247807
Guam,GUM,157717,162951,165768
Guyana,GUY,745143,771366,779004
High income,HIC,1099365177,1198350350,1210312147
"Hong Kong SAR, China",HKG,6730800,7336600,7451000
Honduras,HND,7106319,9270795,9587522
Heavily indebted poor countries (HIPC),HPC,513601239,738387254,780234406
Croatia,HRV,4303399,4174349,4089400
Haiti,HTI,8900104,10839970,11123176
Hungary,HUN,10129552,9814023,9768785
IBRD only,IBD,4116879950,4687686335,4772284113
IDA & IBRD total,IBT,5281727972,6256138021,6412522234
IDA total,IDA,1164848022,1568451686,1640238121
IDA blend,IDB,392391532,531399044,555830605
Indonesia,IDN,220309469,261554226,267663435
IDA only,IDX,772456490,1037052642,1084407516
Isle of Man,IMN,78884,83287,84077
India,IND,1111523144,1324509589,1352617328
Not classified,INX,,,
Ireland,IRL,3996521,4755335,4853506
"Iran, Islamic Rep.",IRN,68122938,79564016,81800269
Iraq,IRQ,25644499,36610632,38433600
Iceland,ISL,289521,335439,353574
Israel,ISR,6689700,8546000,8883800
Italy,ITA,57313203,60627498,60431283
Jamaica,JAM,2709437,2906238,2934855
Jordan,JOR,5434030,9551467,9956011
Japan,JPN,127718000,126994511,126529100
Kazakhstan,KAZ,14909018,17794055,18276499
Kenya,KEN,34678779,49051686,51393010
Kyrgyz Republic,KGZ,5043300,6079500,6315800
Cambodia,KHM,12856163,15766293,16249798
Kiribati,KIR,88835,112524,115847
St. Kitts and Nevis,KNA,45746,51625,52441
"Korea, Rep.",KOR,47892330,51245707,51635256
Kuwait,KWT,2161626,3956873,4137309
Latin America & Caribbean (excluding high income),LAC,513985894,597399287,609013934
Lao PDR,LAO,5576640,6845846,7061507
Lebanon,LBN,4388375,6711121,6848925
Liberia,LBR,3077058,4586788,4818977
Libya,LBY,5620547,6492164,6678567
St. Lucia,LCA,160530,180024,181889
Latin America & Caribbean,LCN,542684680,629240066,641357515
Least developed countries: UN classification,LDC,708587948,963511276,1009662578
Low income,LIC,476645372,670117389,705417321
Liechtenstein,LIE,34175,37658,37910
Sri Lanka,LKA,19224037,21203000,21670000
Lower middle income,LMC,2402147090,2939830821,3022905169
Low & middle income,LMY,5253312522,6227752871,6383958209
Lesotho,LSO,2018348,2075001,2108132
Late-demographic dividend,LTE,2088020747,2262158994,2288665963
Lithuania,LTU,3415213,2868231,2789533
Luxembourg,LUX,451630,582014,607728
Latvia,LVA,2287955,1959537,1926542
"Macao SAR, China",MAC,460165,612836,631636
St. Martin (French part),MAF,32053,36065,37264
Morocco,MAR,29782884,35126296,36029138
Monaco,MCO,33153,38070,38682
Moldova,MDA,3612874,3551954,3545883
Madagascar,MDG,17279141,24894380,26262368
Maldives,MDV,302683,475513,515696
Middle East & North Africa,MEA,333608779,433597626,448912859
Mexico,MEX,103081020,123333376,126190788
Marshall Islands,MHL,53456,57735,58413
Middle income,MIC,4776667150,5557635482,5678540888
North Macedonia,MKD,2053426,2080745,2082958
Mali,MLI,11982695,17965429,19077690
Malta,MLT,398582,455356,483530
Myanmar,MMR,48148902,53045226,53708395
Middle East & North Africa (excluding high income),MNA,294343628,370276461,382896715
Montenegro,MNE,612267,622303,622345
Mongolia,MNG,2468762,3056359,3170208
Northern Mariana Islands,MNP,57947,56188,56882
Mozambique,MOZ,19331100,27829942,29495962
Mauritania,MRT,2857148,4163534,4403319
Mauritius,MUS,1213370,1263473,1265303
Malawi,MWI,12000181,17205289,18143315
Malaysia,MYS,24698819,30684804,31528585
North America,NAC,321815286,359245384,364290258
Namibia,NAM,1879117,2358041,2448255
New Caledonia,NCL,225296,276550,284060
Niger,NER,12647984,20788838,22442948
Nigeria,NGA,131900631,185960289,195874740
Nicaragua,NIC,5292118,6303974,6465513
Netherlands,NLD,16225302,17030314,17231017
Norway,NOR,4564855,5234519,5314336
Nepal,NPL,25080872,27261131,28087871
Nauru,NRU,9994,13049,12704
New Zealand,NZL,4027200,4693200,4885500
OECD members,OED,1182206361,1288747101,1303529456
Oman,OMN,2386166,4479219,4829483
Other small states,OSS,22018494,29542879,30758989
Pakistan,PAK,153093373,203627284,212215030
Panama,PAN,3209048,4037078,4176873
Peru,PER,27372226,30926032,31989256
Philippines,PHL,83051971,103663927,106651922
Palau,PLW,19809,17725,17907
Papua New Guinea,PNG,6223377,8271760,8606316
Poland,POL,38204570,37970087,37978548
Pre-demographic dividend,PRE,599938109,869943914,919485393
Puerto Rico,PRI,3826095,3406495,3195153
"Korea, Dem. People’s Rep.",PRK,23542426,25307744,25549819
Portugal,PRT,10458821,10325452,10281762
Paraguay,PRY,5632983,6777872,6956071
West Bank and Gaza,PSE,3154969,4367088,4569087
Pacific island small states,PSS,2027846,2388307,2457367
Post-demographic dividend,PST,1035711709,1101992071,1109997273
French Polynesia,PYF,252703,274575,277679
Qatar,QAT,681788,2654374,2781677
Romania,ROU,21574326,19702332,19473936
Russian Federation,RUS,144648257,144342396,144478050
Rwanda,RWA,8557161,11668818,12301939
South Asia,SAS,1468324422,1771167194,1814388744
Saudi Arabia,SAU,22456649,32442572,33699947
Sudan,SDN,29460519,39847440,41801533
Senegal,SEN,10541467,14993528,15854360
Singapore,SGP,4114826,5607283,5638676
Solomon Islands,SLB,447017,619437,652858
Sierra Leone,SLE,5201070,7328838,7650154
El Salvador,SLV,5994077,6356143,6420744
San Marino,SMR,28562,33504,33785
Somalia,SOM,9815412,14185613,15008154
Serbia,SRB,7480591,7058322,6982084
Sub-Saharan Africa (excluding high income),SSA,719633428,1022431864,1078209758
South Sudan,SSD,6935676,10832512,10975920
Sub-Saharan Africa,SSF,719716209,1022526541,1078306520
Small states,SST,30697311,39200572,40575321
Sao Tome and Principe,STP,150415,203227,211028
Suriname,SUR,487942,564888,575991
Slovak Republic,SVK,5373374,5430798,5447011
Slovenia,SVN,1995733,2065042,2067372
Sweden,SWE,8958229,9923085,10183175
Eswatini,SWZ,1022802,1113984,1136191
Sint Maarten (Dutch part),SXM,31472,39969,40654
Seychelles,SYC,82781,94677,96762
Syrian Arab Republic,SYR,17415214,17453933,16906283
Turks and Caicos Islands,TCA,25011,36559,37665
Chad,TCD,9373916,14561666,15477751
East Asia & Pacific (IDA & IBRD countries),TEA,1841560579,2027771091,2056064424
Europe & Central Asia (IDA & IBRD countries),TEC,434390419,455505650,459865205
Togo,TGO,5330639,7509952,7889094
Thailand,THA,64549866,68971331,69428524
Tajikistan,TJK,6541547,8663579,9100837
Turkmenistan,TKM,4655743,5662372,5850908
Latin America & the Caribbean (IDA & IBRD countries),TLA,526547684,613258172,625569713
Timor-Leste,TLS,947108,1219288,1267972
Middle East & North Africa (IDA & IBRD countries),TMN,291188659,365909373,378327628
Tonga,TON,99589,101133,103197
South Asia (IDA & IBRD),TSA,1468324422,1771167194,1814388744
Sub-Saharan Africa (IDA & IBRD countries),TSS,719716209,1022526541,1078306520
Trinidad and Tobago,TTO,1283559,1377564,1389858
Tunisia,TUN,9945277,11303946,11565204
Turkey,TUR,66089402,79821724,82319724
Tuvalu,TUV,9726,11225,11508
Tanzania,TZA,36337782,53050790,56318348
Uganda,UGA,25980552,39647506,42723139
Ukraine,UKR,47812950,45004645,44622516
Upper middle income,UMC,2374520060,2617804661,2655635719
Uruguay,URY,3323668,3424132,3449299
United States,USA,290107933,323071342,327167434
Uzbekistan,UZB,25567650,31847900,32955400
St. Vincent and the Grenadines,VCT,108326,109459,110210
"Venezuela, RB",VEN,25551624,29846179,28870195
British Virgin Islands,VGB,21672,29355,29802
Virgin Islands (U.S.),VIR,108506,107510,106977
Vietnam,VNM,82301656,93638724,95540395
Vanuatu,VUT,198959,278330,292680
World,WLD,6352677699,7426103221,7594270356
Samoa,WSM,177484,194535,196130
Kosovo,XKX,1703466,1816200,1845300
"Yemen, Rep.",YEM,18985000,27168210,28498687
South Africa,ZAF,46719196,56203654,57779622
Zambia,ZMB,11256743,16363507,17351822
Zimbabwe,ZWE,11982224,14030390,14439018
